연월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원, 충북 ,충남,전북,전남,경북,경남,제주,소계
202312 ,,,,,,,,,1510 ,,57000 ,20074 ,0 ,,,45 ,,78629 
202401 ,,,,,,,,,5183 ,,60 ,10 ,2000 ,8 ,0 ,183 ,95 ,7539 
202402 ,,,,,,,,,618 ,,185 ,21 ,40 ,1 ,,,,865 
202403 ,,,1 ,,,,,,7 ,,815 ,9 ,25 ,,20 ,66 ,,943 
202404 ,,,,,842 ,,,,3004 ,,137 ,19 ,6 ,6 ,,20 ,,4034 
202405 ,,,,,4 ,,,300 ,288 ,,120 ,6 ,,40 ,100 ,3 ,7 ,868 
202406 ,,,,,3 ,,,,,,1125 ,7 ,5 ,26 ,,6 ,,1172 
202407 ,,,,,402 ,,,,2500 ,,,1 ,600 ,,2 ,,,3505 
202408 ,,,,,,,,,90 ,,,,,226 ,250 ,5022 ,38 ,5626 
202410 ,,,,85 ,119 ,,,,367 ,,,1 ,20 ,,,,,592 
202411 ,,,,0 ,,,,,425 ,,30 ,,,0 ,,,,455 
202412 ,,,,,,,,0 ,56 ,,25 ,0 ,,,0 ,,5 ,86 
202501 ,,,,,,,,,40298 ,,55 ,120 ,,20 ,300 ,126 ,,40919 
202502 ,,,,,,,,,,,270 ,,3000 ,,,,61 ,3331 
202503 ,,,,,,,,0 ,2098 ,,80 ,,,,,20 ,,2198 
202504 ,,,,,,,,,342 ,,710 ,,,1400 ,,20 ,6 ,2478 
202505 ,,,,,,,,,44 ,,615 ,,10 ,,,40 ,3 ,712 
202506 ,,,,,,,,,44005 ,,3275 ,,,,,0 ,,47280 
202507 ,,,,,,,,,800 ,,15 ,,,,8 ,20 ,,843 
